,age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,CF_user,candid,clf,Method_cfe,income
u6,40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0,u6,BernoulliNB,random,0
0,40,Local-gov,HS-grad,Divorced,Machine-op-inspct,White,Male,0,0,40,United-States,1,u6,BernoulliNB,random,0
0,40,Private,10th,Widowed,Machine-op-inspct,White,Male,0,0,40,United-States,1,u6,BernoulliNB,random,0
0,40,Self-emp-inc,HS-grad,Married-spouse-absent,Machine-op-inspct,White,Male,0,0,40,United-States,1,u6,BernoulliNB,random,0
0,40,Private,HS-grad,Widowed,Sales,White,Male,0,0,40,United-States,1,u6,BernoulliNB,random,0
0,40,Local-gov,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,0,0,40,United-States,1,u6,BernoulliNB,random,0
u7,34,Local-gov,Some-college,Never-married,Protective-serv,White,Female,0,0,40,United-States,0,u7,BernoulliNB,random,0
0,34,Private,Doctorate,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u7,BernoulliNB,random,1
0,34,Local-gov,Doctorate,Married-civ-spouse,Craft-repair,White,Female,0,0,40,United-States,1,u7,BernoulliNB,random,1
0,34,Federal-gov,Prof-school,Married-civ-spouse,Protective-serv,White,Female,0,0,40,United-States,1,u7,BernoulliNB,random,1
0,34,Self-emp-inc,Assoc-voc,Married-civ-spouse,Protective-serv,White,Female,0,0,40,United-States,1,u7,BernoulliNB,random,1
0,34,Local-gov,Doctorate,Married-civ-spouse,Sales,White,Female,0,0,40,United-States,1,u7,BernoulliNB,random,1
u8,47,Private,Assoc-voc,Divorced,Sales,White,Male,0,0,50,United-States,0,u8,BernoulliNB,random,0
0,47,Never-worked,Assoc-voc,Divorced,Protective-serv,White,Male,0,0,50,United-States,1,u8,BernoulliNB,random,0
0,47,Never-worked,Assoc-voc,Divorced,Machine-op-inspct,White,Male,0,0,50,United-States,1,u8,BernoulliNB,random,0
0,47,Private,9th,Divorced,Transport-moving,White,Male,0,0,50,United-States,1,u8,BernoulliNB,random,0
0,47,State-gov,Assoc-voc,Divorced,Priv-house-serv,White,Male,0,0,50,United-States,1,u8,BernoulliNB,random,0
0,47,Private,HS-grad,Divorced,Sales,White,Male,0,0,50,United-States,1,u8,BernoulliNB,random,0
u9,90,?,HS-grad,Widowed,?,White,Male,401,0,4,United-States,0,u9,BernoulliNB,random,0
0,90,Federal-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,401,0,4,United-States,1,u9,BernoulliNB,random,1
0,90,Self-emp-inc,Masters,Widowed,Prof-specialty,White,Male,401,0,4,United-States,1,u9,BernoulliNB,random,1
0,90,?,Prof-school,Married-civ-spouse,Protective-serv,White,Male,401,0,4,United-States,1,u9,BernoulliNB,random,1
0,90,Self-emp-inc,Some-college,Married-civ-spouse,?,White,Male,401,0,4,United-States,1,u9,BernoulliNB,random,1
0,90,?,Doctorate,Married-civ-spouse,Farming-fishing,White,Male,401,0,4,United-States,1,u9,BernoulliNB,random,1
u10,62,?,HS-grad,Never-married,?,White,Male,0,0,40,United-States,0,u10,BernoulliNB,random,0
0,62,Self-emp-inc,Some-college,Married-civ-spouse,?,White,Male,0,0,40,United-States,1,u10,BernoulliNB,random,1
0,62,?,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,United-States,1,u10,BernoulliNB,random,1
0,62,?,Prof-school,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u10,BernoulliNB,random,1
0,62,Federal-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,0,0,40,United-States,1,u10,BernoulliNB,random,1
0,62,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u10,BernoulliNB,random,1
u11,49,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,0,0,60,United-States,0,u11,BernoulliNB,random,0
0,49,Self-emp-not-inc,Some-college,Married-spouse-absent,Prof-specialty,White,Male,0,0,60,United-States,1,u11,BernoulliNB,random,0
0,49,Self-emp-not-inc,10th,Married-civ-spouse,Other-service,White,Male,0,0,60,United-States,1,u11,BernoulliNB,random,0
0,49,Self-emp-not-inc,12th,Separated,Prof-specialty,White,Male,0,0,60,United-States,1,u11,BernoulliNB,random,0
0,49,Self-emp-not-inc,Doctorate,Married-spouse-absent,?,White,Male,0,0,60,United-States,1,u11,BernoulliNB,random,0
0,49,Self-emp-not-inc,10th,Never-married,Prof-specialty,White,Male,0,0,60,United-States,1,u11,BernoulliNB,random,0
u12,56,Local-gov,Some-college,Divorced,Protective-serv,Black,Male,0,0,48,United-States,0,u12,BernoulliNB,random,0
0,56,Local-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Black,Male,0,0,48,United-States,1,u12,BernoulliNB,random,1
0,56,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Black,Male,0,0,48,United-States,1,u12,BernoulliNB,random,1
0,56,Local-gov,Doctorate,Divorced,Exec-managerial,Black,Male,0,0,48,United-States,1,u12,BernoulliNB,random,1
0,56,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Black,Male,0,0,48,United-States,1,u12,BernoulliNB,random,1
0,56,Self-emp-inc,Doctorate,Divorced,Protective-serv,Black,Male,0,0,48,United-States,1,u12,BernoulliNB,random,1
u13,25,Private,Some-college,Never-married,Adm-clerical,White,Female,0,0,30,United-States,0,u13,BernoulliNB,random,0
0,25,Private,Doctorate,Married-civ-spouse,Adm-clerical,White,Female,0,0,30,United-States,1,u13,BernoulliNB,random,1
0,25,Self-emp-inc,Bachelors,Married-civ-spouse,Adm-clerical,White,Female,0,0,30,United-States,1,u13,BernoulliNB,random,1
0,25,Private,Doctorate,Married-civ-spouse,Protective-serv,White,Female,0,0,30,United-States,1,u13,BernoulliNB,random,1
0,25,Self-emp-inc,Some-college,Married-civ-spouse,Prof-specialty,White,Female,0,0,30,United-States,1,u13,BernoulliNB,random,1
0,25,Self-emp-inc,Masters,Married-civ-spouse,Priv-house-serv,White,Female,0,0,30,United-States,1,u13,BernoulliNB,random,1
u14,27,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,0,u14,BernoulliNB,random,0
0,27,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u14,BernoulliNB,random,1
0,27,Federal-gov,HS-grad,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,1,u14,BernoulliNB,random,1
0,27,Local-gov,Prof-school,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u14,BernoulliNB,random,1
0,27,Never-worked,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,40,United-States,1,u14,BernoulliNB,random,1
0,27,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u14,BernoulliNB,random,1
u16,20,Private,Some-college,Never-married,Craft-repair,White,Male,0,0,40,United-States,0,u16,BernoulliNB,random,0
0,20,Federal-gov,Some-college,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u16,BernoulliNB,random,1
0,20,Private,Masters,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u16,BernoulliNB,random,1
0,20,Private,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u16,BernoulliNB,random,1
0,20,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u16,BernoulliNB,random,1
0,20,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,1,u16,BernoulliNB,random,1
u17,34,State-gov,Assoc-voc,Never-married,Adm-clerical,White,Female,0,0,40,United-States,0,u17,BernoulliNB,random,0
0,34,Self-emp-not-inc,Prof-school,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u17,BernoulliNB,random,1
0,34,Never-worked,Prof-school,Married-civ-spouse,Tech-support,White,Female,0,0,40,United-States,1,u17,BernoulliNB,random,1
0,34,Private,Doctorate,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u17,BernoulliNB,random,1
0,34,Self-emp-not-inc,Doctorate,Married-civ-spouse,Adm-clerical,White,Female,0,0,40,United-States,1,u17,BernoulliNB,random,1
0,34,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,White,Female,0,0,40,United-States,1,u17,BernoulliNB,random,1
u18,44,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,0,u18,BernoulliNB,random,0
0,44,Private,5th-6th,Married-spouse-absent,Tech-support,White,Male,0,0,40,United-States,1,u18,BernoulliNB,random,0
0,44,?,Some-college,Separated,Tech-support,White,Male,0,0,40,United-States,1,u18,BernoulliNB,random,0
0,44,State-gov,Some-college,Married-civ-spouse,Farming-fishing,White,Male,0,0,40,United-States,1,u18,BernoulliNB,random,0
0,44,?,Some-college,Divorced,Tech-support,White,Male,0,0,40,United-States,1,u18,BernoulliNB,random,0
0,44,Private,Some-college,Married-spouse-absent,Other-service,White,Male,0,0,40,United-States,1,u18,BernoulliNB,random,0
u19,40,Private,Assoc-voc,Never-married,Prof-specialty,White,Male,0,0,42,United-States,0,u19,BernoulliNB,random,0
0,40,Self-emp-inc,Assoc-voc,Married-spouse-absent,Prof-specialty,White,Male,0,0,42,United-States,1,u19,BernoulliNB,random,1
0,40,Federal-gov,Doctorate,Never-married,Prof-specialty,White,Male,0,0,42,United-States,1,u19,BernoulliNB,random,1
0,40,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Male,0,0,42,United-States,1,u19,BernoulliNB,random,1
0,40,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,0,0,42,United-States,1,u19,BernoulliNB,random,1
0,40,Private,Assoc-voc,Married-civ-spouse,Protective-serv,White,Male,0,0,42,United-States,1,u19,BernoulliNB,random,1
u20,31,Private,Bachelors,Never-married,Exec-managerial,White,Female,0,0,40,United-States,0,u20,BernoulliNB,random,0
0,31,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u20,BernoulliNB,random,1
0,31,Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u20,BernoulliNB,random,1
0,31,Private,Doctorate,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u20,BernoulliNB,random,1
0,31,Private,Prof-school,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u20,BernoulliNB,random,1
0,31,Federal-gov,Prof-school,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,1,u20,BernoulliNB,random,1
u21,34,Private,Bachelors,Never-married,Prof-specialty,White,Female,0,0,40,United-States,0,u21,BernoulliNB,random,0
0,34,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u21,BernoulliNB,random,1
0,34,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u21,BernoulliNB,random,1
0,34,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u21,BernoulliNB,random,1
0,34,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u21,BernoulliNB,random,1
0,34,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u21,BernoulliNB,random,1
u22,25,Private,Bachelors,Never-married,Sales,White,Male,3325,0,48,United-States,0,u22,BernoulliNB,random,0
0,25,Private,Some-college,Never-married,Tech-support,White,Male,3325,0,48,United-States,1,u22,BernoulliNB,random,0
0,25,Local-gov,Assoc-acdm,Never-married,Sales,White,Male,3325,0,48,United-States,1,u22,BernoulliNB,random,0
0,25,Self-emp-not-inc,Bachelors,Never-married,Other-service,White,Male,3325,0,48,United-States,1,u22,BernoulliNB,random,0
0,25,Local-gov,7th-8th,Never-married,Sales,White,Male,3325,0,48,United-States,1,u22,BernoulliNB,random,0
0,25,Private,Bachelors,Separated,?,White,Male,3325,0,48,United-States,1,u22,BernoulliNB,random,0
u23,37,State-gov,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,38,United-States,0,u23,BernoulliNB,random,0
0,37,Never-worked,11th,Married-civ-spouse,Exec-managerial,White,Male,0,0,38,United-States,1,u23,BernoulliNB,random,1
0,37,Self-emp-inc,Some-college,Married-civ-spouse,Tech-support,White,Male,0,0,38,United-States,1,u23,BernoulliNB,random,1
0,37,State-gov,Bachelors,Married-civ-spouse,Priv-house-serv,White,Male,0,0,38,United-States,1,u23,BernoulliNB,random,1
0,37,Never-worked,Doctorate,Married-civ-spouse,Exec-managerial,White,Male,0,0,38,United-States,1,u23,BernoulliNB,random,1
0,37,State-gov,Prof-school,Married-civ-spouse,Craft-repair,White,Male,0,0,38,United-States,1,u23,BernoulliNB,random,1
u24,22,Private,HS-grad,Never-married,Other-service,White,Male,0,0,20,United-States,0,u24,BernoulliNB,random,0
0,22,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,0,0,20,United-States,1,u24,BernoulliNB,random,1
0,22,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,20,United-States,1,u24,BernoulliNB,random,1
0,22,Private,Prof-school,Married-civ-spouse,Other-service,White,Male,0,0,20,United-States,1,u24,BernoulliNB,random,1
0,22,Private,HS-grad,Married-civ-spouse,Sales,White,Male,0,0,20,United-States,1,u24,BernoulliNB,random,1
0,22,Private,Doctorate,Married-civ-spouse,Other-service,White,Male,0,0,20,United-States,1,u24,BernoulliNB,random,1
u25,20,Private,Some-college,Never-married,Other-service,White,Male,0,0,50,United-States,0,u25,BernoulliNB,random,0
0,20,Private,Some-college,Married-civ-spouse,Farming-fishing,White,Male,0,0,50,United-States,1,u25,BernoulliNB,random,1
0,20,Private,Some-college,Married-civ-spouse,Transport-moving,White,Male,0,0,50,United-States,1,u25,BernoulliNB,random,1
0,20,Self-emp-inc,Some-college,Married-civ-spouse,Other-service,White,Male,0,0,50,United-States,1,u25,BernoulliNB,random,1
0,20,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,0,0,50,United-States,1,u25,BernoulliNB,random,1
0,20,Private,Some-college,Married-civ-spouse,Sales,White,Male,0,0,50,United-States,1,u25,BernoulliNB,random,1
u26,27,Private,Some-college,Divorced,Prof-specialty,White,Female,0,0,40,United-States,0,u26,BernoulliNB,random,0
0,27,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u26,BernoulliNB,random,1
0,27,Self-emp-inc,Some-college,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u26,BernoulliNB,random,1
0,27,Self-emp-inc,Doctorate,Divorced,Prof-specialty,White,Female,0,0,40,United-States,1,u26,BernoulliNB,random,1
0,27,Never-worked,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u26,BernoulliNB,random,1
0,27,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,United-States,1,u26,BernoulliNB,random,1
u27,48,Private,HS-grad,Divorced,Machine-op-inspct,Other,Female,0,0,38,Ecuador,0,u27,BernoulliNB,random,0
0,48,Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,Other,Female,0,0,38,Ecuador,1,u27,BernoulliNB,random,1
0,48,Self-emp-inc,Doctorate,Married-civ-spouse,Transport-moving,Other,Female,0,0,38,Ecuador,1,u27,BernoulliNB,random,1
u28,34,Private,Bachelors,Divorced,Craft-repair,White,Female,0,0,25,United-States,0,u28,BernoulliNB,random,0
0,34,Private,Prof-school,Married-civ-spouse,Exec-managerial,White,Female,0,0,25,United-States,1,u28,BernoulliNB,random,1
0,34,Self-emp-inc,Masters,Married-civ-spouse,Craft-repair,White,Female,0,0,25,United-States,1,u28,BernoulliNB,random,1
0,34,Private,Doctorate,Married-civ-spouse,Craft-repair,White,Female,0,0,25,United-States,1,u28,BernoulliNB,random,1
0,34,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,White,Female,0,0,25,United-States,1,u28,BernoulliNB,random,1
0,34,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,0,0,25,United-States,1,u28,BernoulliNB,random,1
u29,67,?,7th-8th,Married-civ-spouse,?,White,Male,2414,0,40,United-States,0,u29,BernoulliNB,random,0
0,67,State-gov,12th,Married-civ-spouse,?,White,Male,2414,0,40,United-States,1,u29,BernoulliNB,random,1
0,67,Federal-gov,7th-8th,Married-civ-spouse,Priv-house-serv,White,Male,2414,0,40,United-States,1,u29,BernoulliNB,random,1
0,67,Self-emp-inc,10th,Married-civ-spouse,?,White,Male,2414,0,40,United-States,1,u29,BernoulliNB,random,1
0,67,?,Doctorate,Married-civ-spouse,Sales,White,Male,2414,0,40,United-States,1,u29,BernoulliNB,random,1
0,67,Federal-gov,9th,Married-civ-spouse,?,White,Male,2414,0,40,United-States,1,u29,BernoulliNB,random,1
u30,70,?,HS-grad,Widowed,?,White,Female,2009,0,40,United-States,0,u30,BernoulliNB,random,0
0,70,Self-emp-inc,HS-grad,Married-civ-spouse,Protective-serv,White,Female,2009,0,40,United-States,1,u30,BernoulliNB,random,1
0,70,Self-emp-not-inc,Masters,Married-civ-spouse,?,White,Female,2009,0,40,United-States,1,u30,BernoulliNB,random,1
0,70,Self-emp-inc,Doctorate,Widowed,Transport-moving,White,Female,2009,0,40,United-States,1,u30,BernoulliNB,random,1
0,70,Self-emp-inc,Masters,Married-civ-spouse,?,White,Female,2009,0,40,United-States,1,u30,BernoulliNB,random,1
0,70,Never-worked,Doctorate,Married-civ-spouse,?,White,Female,2009,0,40,United-States,1,u30,BernoulliNB,random,1
u31,32,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Black,Male,0,0,40,?,0,u31,BernoulliNB,random,0
0,32,Self-emp-inc,Doctorate,Married-civ-spouse,Transport-moving,Black,Male,0,0,40,?,1,u31,BernoulliNB,random,1
0,32,Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,Black,Male,0,0,40,?,1,u31,BernoulliNB,random,1
0,32,Self-emp-inc,Doctorate,Married-civ-spouse,Priv-house-serv,Black,Male,0,0,40,?,1,u31,BernoulliNB,random,1
0,32,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Black,Male,0,0,40,?,1,u31,BernoulliNB,random,1
0,32,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Black,Male,0,0,40,?,1,u31,BernoulliNB,random,1
u32,36,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,52,United-States,0,u32,BernoulliNB,random,0
0,36,Self-emp-not-inc,9th,Married-civ-spouse,?,White,Male,0,0,52,United-States,1,u32,BernoulliNB,random,0
0,36,Local-gov,10th,Married-civ-spouse,Exec-managerial,White,Male,0,0,52,United-States,1,u32,BernoulliNB,random,0
0,36,Self-emp-not-inc,Some-college,Separated,Handlers-cleaners,White,Male,0,0,52,United-States,1,u32,BernoulliNB,random,0
0,36,?,Some-college,Married-civ-spouse,Priv-house-serv,White,Male,0,0,52,United-States,1,u32,BernoulliNB,random,0
0,36,?,Some-college,Married-civ-spouse,Protective-serv,White,Male,0,0,52,United-States,1,u32,BernoulliNB,random,0
u33,30,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,0,0,45,United-States,0,u33,BernoulliNB,random,0
0,30,Private,HS-grad,Married-civ-spouse,Sales,White,Male,0,0,45,United-States,1,u33,BernoulliNB,random,1
0,30,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,1,u33,BernoulliNB,random,1
0,30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,1,u33,BernoulliNB,random,1
0,30,Private,Doctorate,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,1,u33,BernoulliNB,random,1
0,30,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,White,Male,0,0,45,United-States,1,u33,BernoulliNB,random,1
u34,52,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,0,u34,BernoulliNB,random,0
0,52,Private,7th-8th,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,United-States,1,u34,BernoulliNB,random,0
0,52,Private,Masters,Separated,Tech-support,White,Male,0,0,40,United-States,1,u34,BernoulliNB,random,0
0,52,Private,7th-8th,Married-civ-spouse,Other-service,White,Male,0,0,40,United-States,1,u34,BernoulliNB,random,0
0,52,Private,1st-4th,Divorced,Exec-managerial,White,Male,0,0,40,United-States,1,u34,BernoulliNB,random,0
0,52,Private,Masters,Married-spouse-absent,Farming-fishing,White,Male,0,0,40,United-States,1,u34,BernoulliNB,random,0
u35,64,Private,11th,Married-civ-spouse,Craft-repair,White,Male,0,2179,40,United-States,0,u35,BernoulliNB,random,0
0,64,Private,11th,Separated,Craft-repair,White,Male,0,2179,40,United-States,1,u35,BernoulliNB,random,0
0,64,Private,Assoc-acdm,Separated,Craft-repair,White,Male,0,2179,40,United-States,1,u35,BernoulliNB,random,0
0,64,Private,HS-grad,Married-spouse-absent,Craft-repair,White,Male,0,2179,40,United-States,1,u35,BernoulliNB,random,0
0,64,?,9th,Married-civ-spouse,Craft-repair,White,Male,0,2179,40,United-States,1,u35,BernoulliNB,random,0
0,64,Private,11th,Separated,Exec-managerial,White,Male,0,2179,40,United-States,1,u35,BernoulliNB,random,0
u36,19,Private,Some-college,Never-married,Sales,White,Male,0,0,15,United-States,0,u36,BernoulliNB,random,0
0,19,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,White,Male,0,0,15,United-States,1,u36,BernoulliNB,random,1
0,19,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,0,0,15,United-States,1,u36,BernoulliNB,random,1
0,19,Private,Doctorate,Married-spouse-absent,Sales,White,Male,0,0,15,United-States,1,u36,BernoulliNB,random,1
0,19,Private,Doctorate,Separated,Sales,White,Male,0,0,15,United-States,1,u36,BernoulliNB,random,1
0,19,Private,Doctorate,Married-civ-spouse,Sales,White,Male,0,0,15,United-States,1,u36,BernoulliNB,random,1
u37,31,Private,Some-college,Never-married,Exec-managerial,White,Male,0,0,60,United-States,0,u37,BernoulliNB,random,0
0,31,Self-emp-inc,Some-college,Divorced,Exec-managerial,White,Male,0,0,60,United-States,1,u37,BernoulliNB,random,1
0,31,Private,1st-4th,Married-civ-spouse,Exec-managerial,White,Male,0,0,60,United-States,1,u37,BernoulliNB,random,1
0,31,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,0,0,60,United-States,1,u37,BernoulliNB,random,1
0,31,Private,Some-college,Married-civ-spouse,Adm-clerical,White,Male,0,0,60,United-States,1,u37,BernoulliNB,random,1
0,31,Private,12th,Married-civ-spouse,Exec-managerial,White,Male,0,0,60,United-States,1,u37,BernoulliNB,random,1
u38,67,Local-gov,Bachelors,Divorced,Adm-clerical,Black,Female,6360,0,35,United-States,0,u38,BernoulliNB,random,0
0,67,Private,Doctorate,Married-civ-spouse,Adm-clerical,Black,Female,6360,0,35,United-States,1,u38,BernoulliNB,random,1
0,67,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Black,Female,6360,0,35,United-States,1,u38,BernoulliNB,random,1
0,67,Local-gov,Doctorate,Married-civ-spouse,Adm-clerical,Black,Female,6360,0,35,United-States,1,u38,BernoulliNB,random,1
0,67,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Black,Female,6360,0,35,United-States,1,u38,BernoulliNB,random,1
